year,Breunig Ch,Burda M,Cabrera B L,Fitzenberger B,Haerdle W K,Lessmann S,Reiss M,Spokoiny V,Winkelmann L,Wang W,DP_sum,Breunig Ch,Burda M,Cabrera B L,Fitzenberger B,Haerdle W K,Lessmann S,Reiss M,Spokoiny V,Winkelmann L,Wang W,Pub_sum,PP_sum
2018,0,0,1,0,13,4,0,9,0,2,29,0,0,0,0,3,0,0,0,0,0,3,32
2017,1,3,2,0,11,1,0,0,0,1,19,0,1,1,0,14,0,0,1,0,2,19,38
2016,1,1,1,0,12,0,0,0,0,2,17,0,0,7,0,20,1,0,5,2,4,39,56
2015,2,0,0,0,7,0,0,0,0,1,10,2,1,3,2,12,2,0,1,2,4,29,39
2014,0,0,2,0,3,0,0,0,0,1,6,1,0,1,2,5,0,0,0,0,1,10,16
2013,,,,,,,,,,,,0,1,1,2,4,1,0,2,0,3,14,14
2012,,,,,,,,,,,,0,0,1,0,2,2,0,1,0,0,6,6
2011,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,2,2
2010,,,,,,,,,,,,0,1,1,1,2,1,0,1,0,0,7,7
2009,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0,2,2
